            angle	  Ex=0.000(0d5/2)	  Ex=1.808(1s1/2)	  Ex=1.808(0d5/2)	  Ex=2.937(1s1/2)	  Ex=2.937(0d5/2)	  Ex=3.938(1s1/2)	  Ex=3.938(0d3/2)	  Ex=3.938(0d5/2)	  Ex=4.319(0d3/2)	  Ex=4.319(0d5/2)	  Ex=4.835(1s1/2)	  Ex=4.835(0d5/2)	  Ex=5.291(1s1/2)	  Ex=5.291(0d5/2)	
            38.10	         0.166740	         0.805550	         0.896630	         1.139100	         0.955820	         2.183900	         1.554700	         1.436500	         2.064400	         1.904500	         2.033100	         1.106000	         2.305300	         1.153300	
            38.20	         0.165490	         0.796010	         0.888580	         1.127800	         0.946400	         2.165700	         1.540000	         1.421300	         2.044300	         1.883900	         2.018500	         1.093700	         2.289900	         1.140200	
            38.30	         0.164230	         0.786360	         0.880550	         1.116300	         0.937000	         2.147100	         1.525400	         1.406100	         2.024300	         1.863400	         2.003600	         1.081500	         2.274200	         1.127200	
            38.40	         0.162970	         0.776600	         0.872540	         1.104600	         0.927630	         2.128200	         1.510800	         1.391100	         2.004400	         1.842900	         1.988400	         1.069300	         2.258200	         1.114200	
            38.50	         0.161720	         0.766740	         0.864540	         1.092800	         0.918290	         2.109000	         1.496200	         1.376000	         1.984600	         1.822600	         1.973000	         1.057200	         2.241900	         1.101300	
            38.60	         0.160470	         0.756780	         0.856570	         1.080800	         0.908980	         2.089500	         1.481700	         1.361100	         1.964800	         1.802300	         1.957300	         1.045100	         2.225300	         1.088400	
            38.70	         0.159210	         0.746740	         0.848610	         1.068700	         0.899700	         2.069700	         1.467300	         1.346200	         1.945100	         1.782100	         1.941300	         1.033100	         2.208400	         1.075700	
            38.80	         0.157960	         0.736610	         0.840670	         1.056400	         0.890450	         2.049700	         1.452900	         1.331300	         1.925500	         1.762000	         1.925100	         1.021100	         2.191200	         1.063000	
            38.90	         0.156720	         0.726400	         0.832750	         1.044100	         0.881230	         2.029400	         1.438600	         1.316600	         1.905900	         1.742000	         1.908700	         1.009200	         2.173800	         1.050300	
            39.00	         0.155470	         0.716120	         0.824860	         1.031500	         0.872050	         2.008800	         1.424300	         1.301900	         1.886400	         1.722100	         1.892000	         0.997370	         2.156100	         1.037800	
            39.10	         0.154230	         0.705770	         0.817000	         1.018900	         0.862910	         1.988000	         1.410100	         1.287200	         1.867100	         1.702300	         1.875100	         0.985600	         2.138200	         1.025300	
            39.20	         0.152990	         0.695350	         0.809160	         1.006100	         0.853800	         1.967000	         1.395900	         1.272700	         1.847800	         1.682600	         1.857900	         0.973890	         2.120000	         1.012900	
            39.30	         0.151750	         0.684880	         0.801340	         0.993290	         0.844730	         1.945700	         1.381800	         1.258200	         1.828600	         1.663100	         1.840600	         0.962260	         2.101600	         1.000500	
